Activity_Type,Date,Title,Race,Distance,Calories,Time,Avg_HR,Max_HR,Avg_Run_Cadence,Max_Run_Cadence,Avg_Pace,Best_Pace,Total_Ascent,Total_Descent,Avg_Stride_Length,Best_Lap_Time,Moving_Time,Min_Elevation,Max_Elevation,7_More_Hours_Sleep
Running,6/7/25 21:20,Rakvere Running,Yes,13.33,"1,259",01:53:51,170,187,149,249,08:32,06:01,272,266,1.27,02:26.0,01:53:49,202,291,Yes
Running,6/9/25 07:36,Copenhagen Running,No,3.4,295,00:28:36,156,174,149,166,08:24,06:35,82,69,1.28,03:00.8,00:27:39,51,112,Yes
Running,6/12/25 13:57,Copenhagen Running,No,4.7,402,00:38:40,157,171,149,171,08:14,06:44,52,36,1.3,04:58.5,00:37:40,47,82,Yes
Running,6/19/25 17:00,Henrico County Running,No,1,81,00:08:34,142,167,146,238,08:34,02:41,49,105,1.29,00:01.4,08:31.4,-6,78,Yes
Treadmill Running,6/20/25 14:21,Treadmill Running,No,8.01,560,00:59:41,145,161,144,234,07:27,04:37,--,--,1.49,00:01.4,00:59:04,--,--,Yes
Running,6/23/25 22:10,Myrtle Beach Running,No,2.6,242,00:26:06,144,163,132,214,10:02,01:09,13,26,1.22,06:01.1,00:26:00,20,39,No
Treadmill Running,6/25/25 13:43,Treadmill Running,No,6.01,447,00:47:23,146,163,144,220,07:53,07:03,--,--,1.42,00:02.8,00:46:57,--,--,Yes
Treadmill Running,6/26/25 13:00,Treadmill Running,No,4.35,314,00:33:05,144,162,146,248,07:36,04:56,--,--,1.44,02:44.0,00:32:28,--,--,Yes
Treadmill Running,6/27/25 19:43,Treadmill Running,No,2.5,210,00:20:20,151,163,143,247,08:08,05:00,--,--,1.39,03:54.5,00:20:19,--,--,Yes
Treadmill Running,6/27/25 20:11,Treadmill Running,No,2.5,199,00:18:57,151,158,148,246,07:35,07:04,--,--,1.44,03:38.3,00:18:44,--,--,Yes
Treadmill Running,6/28/25 13:12,Treadmill Running,No,7.01,512,00:50:34,151,163,151,249,07:13,04:42,--,--,1.48,00:02.1,00:50:33,--,--,Yes
Treadmill Running,7/1/25 16:33,Treadmill Running,No,8.01,573,00:58:36,149,159,149,155,07:19,06:59,--,--,1.47,00:04.1,00:58:33,--,--,Yes
Treadmill Running,7/3/25 12:56,Treadmill Running,No,6.21,476,00:46:07,154,165,149,228,07:25,05:06,--,--,1.45,01:32.3,00:46:01,--,--,Yes
Treadmill Running,7/4/25 11:46,Treadmill Running,No,4.12,330,00:30:07,159,168,151,227,07:18,05:04,--,--,1.46,00:53.1,00:30:06,--,--,Yes
Treadmill Running,7/5/25 13:57,Treadmill Running,No,8.01,583,01:01:21,149,165,146,225,07:40,06:57,--,--,1.43,00:02.5,01:00:25,--,--,Yes
Treadmill Running,7/7/25 16:20,Treadmill Running,No,3.51,242,00:25:51,142,156,149,155,07:21,07:04,--,--,1.47,03:54.9,00:25:50,--,--,Yes
Treadmill Running,7/7/25 16:56,Treadmill Running,No,3.51,249,00:26:05,144,156,149,157,07:27,06:55,--,--,1.45,03:40.5,00:26:04,--,--,Yes
Treadmill Running,7/9/25 18:31,Treadmill Running,No,3.1,247,00:24:57,151,194,144,249,08:03,04:25,--,--,1.39,00:43.5,00:24:12,--,--,Yes
Running,7/11/25 15:02,Myrtle Beach Running,No,2.5,251,00:23:44,156,176,139,239,09:29,07:11,36,59,1.22,05:49.9,00:23:42,10,59,Yes
Treadmill Running,7/13/25 13:02,Treadmill Running,No,9.01,626,01:08:38,147,166,144,209,07:37,06:18,--,--,1.47,00:01.6,01:08:00,--,--,Yes
Treadmill Running,7/16/25 17:33,Treadmill Running,No,7.01,497,00:51:23,148,173,146,243,07:20,06:21,--,--,1.51,00:04.3,00:51:07,--,--,Yes
Treadmill Running,7/18/25 17:36,Treadmill Running,No,5.01,320,00:37:06,138,153,145,245,07:25,04:23,--,--,1.49,00:02.4,00:36:52,--,--,Yes
Treadmill Running,7/19/25 08:44,Treadmill Running,No,8.01,594,00:53:48,160,172,151,231,06:43,04:56,--,--,1.59,00:02.2,00:53:40,--,--,Yes
Treadmill Running,7/23/25 15:56,Treadmill Running,No,6.3,433,00:45:06,148,170,146,157,07:09,06:10,--,--,1.54,02:01.1,00:45:04,--,--,Yes
Treadmill Running,7/26/25 07:03,Treadmill Running,No,6.22,313,00:47:20,152,168,147,161,07:37,06:21,--,--,1.48,00:47.5,00:30:10,--,--,Yes
Treadmill Running,8/2/25 12:46,Treadmill Running,No,4.01,348,00:30:36,164,175,142,246,07:38,05:45,--,--,1.48,00:01.2,00:30:19,--,--,Yes
Running,8/3/25 06:05,Myrtle Beach Running,No,11.01,"1,051",01:51:01,160,192,134,246,10:05,06:34,249,236,1.19,00:02.1,01:50:13,-5,64,Yes
Treadmill Running,8/5/25 12:40,Treadmill Running,No,6.2,469,00:46:34,153,169,142,231,07:31,06:38,--,--,1.51,01:22.4,00:45:46,--,--,Yes
Running,8/9/25 08:38,Myrtle Beach Running,No,5.01,511,00:50:32,158,179,133,248,10:06,07:03,184,210,1.2,00:01.7,00:50:11,-9,50,Yes
Running,8/9/25 12:18,Myrtle Beach Running,No,0.58,48,05:03.3,142,166,149,234,08:44,07:40,--,13,1.24,05:03.3,00:04:59,18,35,Yes
Treadmill Running,8/9/25 12:25,Treadmill Running,No,8.2,628,01:04:59,152,166,141,244,07:55,04:27,--,--,1.44,01:21.6,01:03:58,--,--,Yes
Running,8/9/25 14:12,Myrtle Beach Running,No,0.56,53,04:57.6,155,172,146,157,08:49,07:30,7,--,1.25,04:57.6,00:04:53,36,46,Yes
Treadmill Running,8/12/25 16:35,Treadmill Running,No,7.01,519,00:52:20,151,167,145,243,07:28,04:38,--,--,1.49,00:01.7,00:51:39,--,--,Yes
Running,8/16/25 06:01,Myrtle Beach Running,No,10,"1,057",01:32:33,172,185,139,250,09:15,06:47,299,338,1.25,00:01.5,01:31:56,16,79,No
Treadmill Running,8/16/25 09:12,Treadmill Running,No,5.01,364,00:39:37,150,173,141,159,07:55,06:25,--,--,1.44,00:01.9,00:39:02,--,--,No
Treadmill Running,8/19/25 18:23,Treadmill Running,No,3.5,237,00:23:42,149,161,152,240,06:46,06:27,--,--,1.56,03:18.5,00:23:34,--,--,Yes
Running,8/23/25 06:04,Myrtle Beach Running,No,13.01,"1,142",02:04:32,156,183,137,244,09:35,06:39,246,197,1.23,00:02.7,02:02:27,33,95,No
Running,8/23/25 08:53,Myrtle Beach Running,No,4.06,379,00:40:33,150,172,133,244,10:00,07:04,118,108,1.21,00:25.5,00:40:25,12,50,No
Treadmill Running,8/28/25 13:35,Treadmill Running,No,7.01,501,00:52:28,147,164,145,243,07:29,06:17,--,--,1.49,00:02.5,00:49:19,--,--,Yes
Treadmill Running,8/31/25 08:04,Treadmill Running,No,7.01,508,00:50:27,153,172,154,164,07:12,06:32,--,--,1.45,00:02.4,00:49:51,--,--,Yes
Running,9/2/25 18:32,Myrtle Beach Running,No,4.05,396,00:38:06,156,180,139,240,09:24,07:09,43,59,1.23,00:24.5,00:38:00,1,36,Yes
Running,9/2/25 19:10,Running,No,1.8,--,00:15:03,71,73,--,--,08:22,--,--,--,--,00:03.1,00:00:00,156,157,Yes
Running,9/6/25 06:01,Myrtle Beach Running,No,13.01,"1,117",02:03:38,156,192,140,241,09:30,06:50,322,262,1.21,00:03.0,02:02:45,19,85,No
Running,9/6/25 08:43,Myrtle Beach Running,No,1.01,88,09:22.9,144,159,140,164,09:19,07:18,7,39,1.23,00:02.4,00:09:18,31,47,No
Treadmill Running,9/8/25 18:16,Treadmill Running,No,1.01,71,07:04.0,149,161,155,164,07:00,06:39,--,--,1.49,00:03.1,07:04.0,--,--,Yes
Treadmill Running,9/14/25 14:33,Treadmill Running,No,3.2,97,00:34:11,156,161,154,157,08:44,06:51,--,--,1.49,02:06.4,09:10.4,--,--,Yes
Treadmill Running,9/14/25 14:49,Treadmill Running,No,1.01,77,08:43.4,139,158,135,164,08:41,06:45,--,--,1.37,00:01.8,08:09.8,--,--,Yes
Running,9/22/25 19:40,Odense Running,No,3.32,305,00:27:50,163,173,154,168,08:23,07:29,59,49,1.24,02:51.7,00:26:52,41,83,Yes
Running,9/23/25 15:57,Odense Running,No,0.11,9,01:14.2,123,142,137,225,11:14,01:52,7,--,1.04,01:14.2,00:01:14,40,55,Yes
Running,9/24/25 16:15,Odense Running,No,6.2,527,00:51:49,156,176,155,171,08:21,07:26,112,82,1.24,01:40.4,00:50:07,28,84,No
Running,9/28/25 10:06,Odense Running,Yes,26.72,"2,152",04:24:46,153,171,148,238,09:55,06:56,371,377,1.09,05:48.1,04:22:54,3,78,Yes
